ID,例文,質問内容,解答,,,,,,,,,,,
275,"どんな仕組みで構造体を引数で渡したり、関数の戻り値に使うことが できるのかというと、構造体が関数の引数として渡されるとき、構造体全体が、必要なだけ のワードを使ってスタックに積まれる(プログラマーは、このオーバー ヘッドを嫌って構造体へのポインターをかわりによく使う)。コンパ イラの中には構造体へのポインターしか渡さないものもいる。ただし、 そういうコンパイラでも引数渡しであるという意味を残しておくため に自分用のコピーを持っているかもしれない。構造体はコンパイラが用意する領域に置かれて関数から返ってくるの が一般的である。コンパイラは、この領域のアドレスを、特別な""隠 れた""引数として、呼ばれる側の関数に渡す。古いコンパイラの中に は、構造体を返すのに特別な静的な領域を使うものもあった。これは 関数を再入(リエントラント)不能にするので、ANSI Cは禁止している。",どんな仕組みで構造体を引数で渡したり、関数の戻り値に使うことが できるのか。,"構造体が関数の引数として渡されるとき、構造体全体が、必要なだけ のワードを使ってスタックに積まれる(プログラマーは、このオーバー ヘッドを嫌って構造体へのポインターをかわりによく使う)。コンパ イラの中には構造体へのポインターしか渡さないものもいる。ただし、 そういうコンパイラでも引数渡しであるという意味を残しておくため に自分用のコピーを持っているかもしれない。構造体はコンパイラが用意する領域に置かれて関数から返ってくるの が一般的である。コンパイラは、この領域のアドレスを、特別な""隠 れた""引数として、呼ばれる側の関数に渡す。古いコンパイラの中に は、構造体を返すのに特別な静的な領域を使うものもあった。これは 関数を再入(リエントラント)不能にするので、ANSI Cは禁止している。",,,,,,,,,,275,
276,構造体を引数として取る関数に定数値をどうやって渡せばよいかというと、C言語には名前のない構造体の値を作り出す方法は存在しない。一時 的に構造体の変数を使うか、構造体を作り出すちょっとした関数を用 意しなければいけない。,構造体を引数として取る関数に定数値をどうやって渡せばよいか。,C言語には名前のない構造体の値を作り出す方法は存在しない。一時 的に構造体の変数を使うか、構造体を作り出すちょっとした関数を用 意しなければいけない。,,,,,,,,,,276,
277,"構造体をデータファイルから読む、あるいはデータファイルに書き込むのはどうすればよいかというと、fwrite()を使って構造体をデータファイルに書き込むのはそんなに難 しくない。
 
 fwrite(&somestruct, sizeof somestruct, 1, fp);
 
 これに対応するfread()を使えば読み返すことができる。(ANSI Cが決 まる前のCでは、最初の引数に(char *)のキャストが必要である。大 事なのは、fwrite()はバイトへのポインターを受け取るのであって、 構造体へのポインターを受け取るのではないということである。) し かし、こうやって書き込んだデータファイルは、たいして移植性が高 いわけではない。",構造体をデータファイルから読む、あるいはデータファイルに書き込 むのはどうすればよいか。,"fwrite()を使って構造体をデータファイルに書き込むのはそんなに難 しくない。

fwrite(&somestruct, sizeof somestruct, 1, fp);

これに対応するfread()を使えば読み返すことができる。(ANSI Cが決 まる前のCでは、最初の引数に(char *)のキャストが必要である。大 事なのは、fwrite()はバイトへのポインターを受け取るのであって、 構造体へのポインターを受け取るのではないということである。) し かし、こうやって書き込んだデータファイルは、たいして移植性が高 いわけではない。",,,,,,,,,,277,
278,"私が使っているコンパイラは構造体の内部に穴を開けるので、領域は 無駄になるし、データを保存した外部のファイルに対して""バイナリー ""で入出力することができない。この埋め草を止めたり、構造体の整 列を制御することはできないのかといと、使っているコンパイラは、この制御をおこなう拡張機能を用意しているかもしれない。ただし 標準化された方法はない。","私が使っているコンパイラは構造体の内部に穴を開けるので、領域は 無駄になるし、データを保存した外部のファイルに対して""バイナリー ""で入出力することができない。この埋め草を止めたり、構造体の整 列を制御することはできないのか。","使っているコンパイラは、この制御をおこなう拡張機能を用意しているかもしれない。ただし 標準化された方法はない。
",,,,,,,,,,278,
279,構造体にsizeof演算子を使ったら、私が思っていたよりも大きな大き さを返してきたときは、構造体は、構造体を連続的に配置したときに各構造体の先頭が整列す るように、このような詰め物を持つ場合がある(内部に詰め物をする こともある)。たとえ構造体が配列の一部でないとしても、sizeofが 一貫した値を返すように、おしりの詰め物は付いたままとなる。,構造体にsizeof演算子を使ったら、私が思っていたよりも大きな大き さを返してきた。まるで、おしりに詰め物がしてあるようだ。,構造体は、構造体を連続的に配置したときに各構造体の先頭が整列す るように、このような詰め物を持つ場合がある(内部に詰め物をする こともある)。たとえ構造体が配列の一部でないとしても、sizeofが 一貫した値を返すように、おしりの詰め物は付いたままとなる。,,,,,,,,,,279,
280,"構造体内のフィールドのバイトオフセットを知る方法は、構造体内のフィールドのバイトオフセットを知る方法はANSI Cは、offsetofマクロを用意しているので、用意されている場合 は使うこと。<stddef.h>を参照。もし手に入れることができなければ、 実装の一つは以下のようになる。
 #define offsetof(type, mem) ((size_t) \
 ((char *)&((type *)0)->mem - (char *)(type *)0))
 この実装も100%の移植性を持つわけではない。コンパイラの中には、 はねつけるものがあるかもしれないが、それはそれで文法的に正しい。",構造体内のフィールドのバイトオフセットを知る方法は。,"ANSI Cは、offsetofマクロを用意しているので、用意されている場合 は使うこと。<stddef.h>を参照。もし手に入れることができなければ、 実装の一つは以下のようになる。
#define offsetof(type, mem) ((size_t) \
((char *)&((type *)0)->mem - (char *)(type *)0))
この実装も100%の移植性を持つわけではない。コンパイラの中には、 はねつけるものがあるかもしれないが、それはそれで文法的に正しい。
",,,,,,,,,,280,
281,"どうやれば構造体のフィールドを、実行時に名前でアクセスできるかというと、まずoffsetof()マクロを使って名前とオフセットの対応表を用意する。 構造体aのフィールドbのオフセットは、
 
 offsetb = offsetof(struct a, b)
 
 で与えられる。もし以下の式でstructpが、構造体の実体へのポイン ターで、bが上で計算したオフセットを持つintのフィールドとすると、 bの値は間接的に
 
 *(int *)((char *)structp + offsetb) = value;
 
 として得られる。",どうやれば構造体のフィールドを、実行時に名前でアクセスできるか。,"まずoffsetof()マクロを使って名前とオフセットの対応表を用意する。 構造体aのフィールドbのオフセットは、

offsetb = offsetof(struct a, b)

で与えられる。もし以下の式でstructpが、構造体の実体へのポイン ターで、bが上で計算したオフセットを持つintのフィールドとすると、 bの値は間接的に

*(int *)((char *)structp + offsetb) = value;

として得られる。",,,,,,,,,,281,
282,共用体を初期化することはできるかというと、共用体の最初のメンバーを初期化に使うことをANSI C規格は許してい る。他のメンバーを初期化する標準的な方法はない(そもそもANSI規 格成立より前のたいていのコンパイラで、どのメンバーを使っても初 期化することはできなかった)。,共用体を初期化することはできるか。,"共用体の最初のメンバーを初期化に使うことをANSI C規格は許してい る。他のメンバーを初期化する標準的な方法はない(そもそもANSI規 格成立より前のたいていのコンパイラで、どのメンバーを使っても初 期化することはできなかった)。
",,,,,,,,,,282,
283,"プリプロセッサーで#defineを複数使うこととコンパイラで列挙型を 使うことの違いは、現状ではほとんど違いはない。多くの人が望んだ方向とは反対に、C 規格は、列挙型とそのほかの整数型を混合して使っても問題ないと述 べている。 (もしそのような混合が明示的なキャストなしには使えな いとしたら、よく考えて使われた列挙型により、ある種のプログラミ ングの誤りを捉えることができるのであるが。)
 
 列挙型の利点としては値が自動的に与えられることと、デバッガーを 使って列挙型の値を調べる時にデバッガーがシンボリックな値を表示 してくれるかもしれないということ、また列挙型の有効範囲がブロッ クであることが挙げられる(コンパイラは、列挙型と整数が見境なく 混合して使われたときに、致命的ではない警告を出すかもしれない。 そのように混ぜて使うことは、厳密にいえば文法違反ではないけれど、 よくない作法と考えられるからである)。欠点としてはプログラマー がデータの大きさを(さっきの致命的でない警告についても)ほとんど 制御できないことが挙げられる。",プリプロセッサーで#defineを複数使うこととコンパイラで列挙型を 使うことの違いは。,"現状ではほとんど違いはない。多くの人が望んだ方向とは反対に、C 規格は、列挙型とそのほかの整数型を混合して使っても問題ないと述 べている。 (もしそのような混合が明示的なキャストなしには使えな いとしたら、よく考えて使われた列挙型により、ある種のプログラミ ングの誤りを捉えることができるのであるが。)

列挙型の利点としては値が自動的に与えられることと、デバッガーを 使って列挙型の値を調べる時にデバッガーがシンボリックな値を表示 してくれるかもしれないということ、また列挙型の有効範囲がブロッ クであることが挙げられる(コンパイラは、列挙型と整数が見境なく 混合して使われたときに、致命的ではない警告を出すかもしれない。 そのように混ぜて使うことは、厳密にいえば文法違反ではないけれど、 よくない作法と考えられるからである)。欠点としてはプログラマー がデータの大きさを(さっきの致命的でない警告についても)ほとんど 制御できないことが挙げられる。
",,,,,,,,,,283,
284,列挙型の値をシンボルで表示する楽な方法はないのかというと、ない。列挙型の定数を文字列に対応させるちょっとした関数を書けば いい。(デバッグのことしか気にしてないのなら、よくできたデバッ ガーを使えば勝手に列挙型の定数をシンボルで表示してくれるので心 配ない。),列挙型の値をシンボルで表示する楽な方法はないのか,ない。列挙型の定数を文字列に対応させるちょっとした関数を書けば いい。(デバッグのことしか気にしてないのなら、よくできたデバッ ガーを使えば勝手に列挙型の定数をシンボルで表示してくれるので心 配ない。),,,,,,,,,,284,
285,a[i] = i++;のようなこのコードはうまく動かないかというと、i++は副作用をもたらす。つまりiの値を変更する。式の他のところで iが参照されているので、このことが未定義の振舞いを引き起こす。,"このコードはうまく動かないか。

a[i] = i++;",i++は副作用をもたらす。つまりiの値を変更する。式の他のところで iが参照されているので、このことが未定義の振舞いを引き起こす。,,,,,,,,,,285,
286,"私が使っているコンパイラではint i = 7;のコードで49を出力したときは、

後置増分演算子++も後置減分演算子--も元の値を返した後で、その演 算を行う。この""後""の意味付けがしばしば誤解を招く。前回値を産み 出したすぐ後で、かつ式のその他の部分が評価される前に、++や--が 増分や減分を行うことは保証されていない。単に式が""終了""する前のどこかで更新が実行されることが保証されているだ けである。上の例では、前回値と前回値を掛け合わせてから両方の増 分を実行することをコンパイラは選んだ。
 
 副作用があいまいな部分が複数あるコードのふるまいは、常に未定義 である。(大まかに言うと、「副作用があいまいな部分が複数ある」 とは、++, --, =, +=, -=, etc. の組み合わせのいずれかが1つの式 の中に洗われ、同じオブジェクトが2回変更されたり、変更されてか ら値を調べられることを意味している。","私が使っているコンパイラでは以下のコードで49を出力する。

int i = 7;
printf(""%d\n"", i++ * i++);

評価の順にかかわりなく、56を出力するのではないのか。","後置増分演算子++も後置減分演算子--も元の値を返した後で、その演 算を行う。この""後""の意味付けがしばしば誤解を招く。前回値を産み 出したすぐ後で、かつ式のその他の部分が評価される前に、++や--が 増分や減分を行うことは保証されていない。単に式が""終了""する前のどこかで更新が実行されることが保証されているだ けである。上の例では、前回値と前回値を掛け合わせてから両方の増 分を実行することをコンパイラは選んだ。

副作用があいまいな部分が複数あるコードのふるまいは、常に未定義 である。(大まかに言うと、「副作用があいまいな部分が複数ある」 とは、++, --, =, +=, -=, etc. の組み合わせのいずれかが1つの式 の中に洗われ、同じオブジェクトが2回変更されたり、変更されてか ら値を調べられることを意味している。",,,,,,,,,,286,
287,"以下のコードをいくつかのコンパイラでコンパイルして実験してみた。
int i = 3;
i = i++;
iの値として、3を与えるもの4を与えるもの7を与えるものがあった。 上のコードの振る舞いは未定義であるのは知っている。しかしどうし て7になるのかというと、未定義の振る舞いというのは、どんなことが起っても不思議がないことを意味している。i++も++iもi+1と は違うことに注意すること。iに1加えたかったら、i=i+1かi++か++i のどれを使ってもいい。ただし組み合わせてはいけない。","以下のコードをいくつかのコンパイラでコンパイルして実験してみた。

int i = 3;
i = i++;

iの値として、3を与えるもの4を与えるもの7を与えるものがあった。 上のコードの振る舞いは未定義であるのは知っている。しかしどうし て7になるのか",未定義の振る舞いというのは、どんなことが起っても不思議がないことを意味している。i++も++iもi+1と は違うことに注意すること。iに1加えたかったら、i=i+1かi++か++i のどれを使ってもいい。ただし組み合わせてはいけない。,,,,,,,,,,287,
288,"括弧をつけて評価の順をこっちの好きなようにすることができるか。 もしできないとして、優先順位が評価の順を決めるのではないのかというと、常に順番を指定できるわけではない。演算子の優先順位や括弧を付けることは、式の評価に部分的に順序付 けをするだけである。以下の式を考えて見よう。
 
 f() + g() * h()
 
 掛け算は足し算の前に起こるということはわかっているけれど、3つ の関数のうちどの関数が最初に呼ばれるかはわからない。式の一部の評価の順序を保証する必要があるなら、明示的に一時変数 を使い複数の文に分ける必要があるかもしれない。",括弧をつけて評価の順をこっちの好きなようにすることができるか。 もしできないとして、優先順位が評価の順を決めるのではないのか。,"常に順番を指定できるわけではない。演算子の優先順位や括弧を付けることは、式の評価に部分的に順序付 けをするだけである。以下の式を考えて見よう。

f() + g() * h()

掛け算は足し算の前に起こるということはわかっているけれど、3つ の関数のうちどの関数が最初に呼ばれるかはわからない。式の一部の評価の順序を保証する必要があるなら、明示的に一時変数 を使い複数の文に分ける必要があるかもしれない。",,,,,,,,,,288,
289,"&&や||や,(コンマ)はどうなるのかというと、これらの演算子は(三項演算子?:も同様だが)特例であって、左から右 へ順に評価することが保証されている","それでは&&や||や,(コンマ)はどうなるのか。 while((c = getchar()) != EOF && c != '\n')... のようなコードを見たことがあるが。",これらの演算子は(三項演算子?:も同様だが)特例であって、左から右 へ順に評価することが保証されている,,,,,,,,,,289,
290,"複雑な式をどうやって理解すればいいのか。「副作用完了点 (sequence point)」とはなにかというと、副作用完了点とは騒ぎがおさまってすべての副作用が完了したことが 保証されている(時)点である。(つまり式の本当の終わり、 ||,&&,?:,"",""(カンマ演算子)、関数呼び出しの直前) ANSI/ISO C規格 は以下のように述べている、
 直前の副作用完了点と次の副作用完了点までの間に、 式の評価によってオブジェクトに格納された値を 変更する回数は高々一度だけでなければならない。 更に、変更前の値は、格納される値を決定するため だけにアクセスしなければならない。
 二番目の文は理解しにくい。オブジェクトに式の中で書き込むなら、 同じ式内でのそのオブジェクトに対する如何なる且つすべてのアクセ スは書き込むべき値の計算のためでなければならないと言っている。 この規則により合法な式はアクセスが明らかに変更の前に来るものに 実質的に限定される。","複雑な式をどうやって理解すればいいのか。「副作用完了点 (sequence point)」とはなにか。
","副作用完了点とは騒ぎがおさまってすべての副作用が完了したことが 保証されている(時)点である。(つまり式の本当の終わり、 ||,&&,?:,"",""(カンマ演算子)、関数呼び出しの直前) ANSI/ISO C規格 は以下のように述べている、
直前の副作用完了点と次の副作用完了点までの間に、 式の評価によってオブジェクトに格納された値を 変更する回数は高々一度だけでなければならない。 更に、変更前の値は、格納される値を決定するため だけにアクセスしなければならない。
二番目の文は理解しにくい。オブジェクトに式の中で書き込むなら、 同じ式内でのそのオブジェクトに対する如何なる且つすべてのアクセ スは書き込むべき値の計算のためでなければならないと言っている。 この規則により合法な式はアクセスが明らかに変更の前に来るものに 実質的に限定される。",,,,,,,,,,290,
291,"以下のコードがあったとして、

a[i] = i++;

a[]のどの要素に書きこまれるかはわからないが、iは確実に一つ大きくなるのかというと、いいえ。式やプログラムが未定義になったら、すべての面で未定義となる。","以下のコードがあったとして、

a[i] = i++;

a[]のどの要素に書きこまれるかはわからないが、iは確実に一つ大きくなるね。
",いいえ。式やプログラムが未定義になったら、すべての面で未定義となる。,,,,,,,,,,291,
292,式の値を使わないとして、変数に1を加えるのにi++と++iのどちらを 使えばよいのかというと、この二つは産み出す値が違うだけで、副作用だけを必要とするときは まったく同じである。,式の値を使わないとして、変数に1を加えるのにi++と++iのどちらを 使えばよいのか。,この二つは産み出す値が違うだけで、副作用だけを必要とするときは まったく同じである。,,,,,,,,,,292,
293,"なぜint a = 1000, b = 1000;のコードは私が思った通りに動かないのか。

Cの整数の拡張規則により、掛け算がintで実行される。結果は左辺の long intの変数に拡張されて代入される前に桁溢れしたり桁落ちする かもしれない、longで演算されるよう明示的にキャストを使う。
 
 long int c = (long int)a * b;
 
 (long int)(a * b)では望む結果が得られないことに注意すること。
 
 整数変数同士割算をおこなって結果を浮動小数点型の変数に代入する ときにも同じような問題が起こる。","なぜ以下のコードは私が思った通りに動かないのか。

int a = 1000, b = 1000;
long int c = a * b;
","Cの整数の拡張規則により、掛け算がintで実行される。結果は左辺の long intの変数に拡張されて代入される前に桁溢れしたり桁落ちする かもしれない、longで演算されるよう明示的にキャストを使う。

long int c = (long int)a * b;

(long int)(a * b)では望む結果が得られないことに注意すること。

整数変数同士割算をおこなって結果を浮動小数点型の変数に代入する ときにも同じような問題が起こる。",,,,,,,,,,293,
294,"条件によって、二つの変数のどちらかに代入する複雑な式がある。((condition) ? a : b) = complicated_expression;のようなコードを使ってもよいかというと、?:演算子は、たいていの演算子と同じように、値を産み出 す。値に代入することはできない。(言い換えると?:は左辺値を産み 出さない)。 本当にやりたいなら、以下のようなやり方を試せばいい。
 
 *((condition) ? &a : &b) = complicated_expression;","条件によって、二つの変数のどちらかに代入する複雑な式がある。以 下のようなコードを使ってもよいか。

((condition) ? a : b) = complicated_expression;","?:演算子は、たいていの演算子と同じように、値を産み出 す。値に代入することはできない。(言い換えると?:は左辺値を産み 出さない)。 本当にやりたいなら、以下のようなやり方を試せばいい。

*((condition) ? &a : &b) = complicated_expression;",,,,,,,,,,294,
295,"ポインターを宣言して、そのポインター用の領域を確保しようとして いる。でもうまくいかない。char *p、*p = malloc(10);のコードのどこがおかしいのか。宣言したポインターはpであって*pではない。ポインターにどこ かを指させるにはポインターの名前を使うだけでいい。
 
 p = malloc(10);
 
 指した先のメモリーを操作するときに初めて*を間接演算子として使う。
 
 *p = 'H';","ポインターを宣言して、そのポインター用の領域を確保しようとして いる。でもうまくいかない。以下のコードのどこがおかしいのか。

char *p
*p = malloc(10);","宣言したポインターはpであって*pではない。ポインターにどこ かを指させるにはポインターの名前を使うだけでいい。

p = malloc(10);

指した先のメモリーを操作するときに初めて*を間接演算子として使う。

*p = 'H';",,,,,,,,,,295,
296,"*p++はpを増分するか。それともpが指すものを増分するのかというと、*, ++, --のような単項演算子は、右から左に結び付ける。だから *p++はpを増分する(そして増分する前にpが指していた値を返す)。p が指していた値を増分するには、(*p)++を使う(副作用が起こる順序 が問題でないなら++*pでもいいだろう)。",*p++はpを増分するか。それともpが指すものを増分するのか。,"*, ++, --のような単項演算子は、右から左に結び付ける。だから *p++はpを増分する(そして増分する前にpが指していた値を返す)。p が指していた値を増分するには、(*p)++を使う(副作用が起こる順序 が問題でないなら++*pでもいいだろう)。
",,,,,,,,,,296,
297,"charのポインターがあって、そのポインターがたまたまintを指して いた。intの次へポインターを進めたい。なぜ((int *)p)++;の式ではうまくい かないのか。

C言語でキャスト演算子は「ビットが別の型を持っているふりをして、 そういう風に扱ってやろう」ということを意味していない。キャスト は変換演算子であって、それは右辺値を生みだすと定義されている。 右辺値であるとするなら、代入することも++で足し算することもでき ないことになる(pccから派生したコンパイラやgccの拡張機能が上の ような式を受け付けることは例外である)。思っていることを式にあ らわそう。以下のようにする。
 
 p = (char *)((int *)p + 1);
 
 あるいは(pはchar *なので)単に
 
 p += sizeof(int);
 
 可能なときはいつでも、最初から適切なポインター型を選ぶべきであ る。ある型を別の型とみなそうとしてはいけない。","charのポインターがあって、そのポインターがたまたまintを指して いた。intの次へポインターを進めたい。なぜ以下の式ではうまくい かないのか。

((int *)p)++;","C言語でキャスト演算子は「ビットが別の型を持っているふりをして、 そういう風に扱ってやろう」ということを意味していない。キャスト は変換演算子であって、それは右辺値を生みだすと定義されている。 右辺値であるとするなら、代入することも++で足し算することもでき ないことになる(pccから派生したコンパイラやgccの拡張機能が上の ような式を受け付けることは例外である)。思っていることを式にあ らわそう。以下のようにする。

p = (char *)((int *)p + 1);

あるいは(pはchar *なので)単に

p += sizeof(int);

可能なときはいつでも、最初から適切なポインター型を選ぶべきであ る。ある型を別の型とみなそうとしてはいけない。
",,,,,,,,,,297,
298,参照呼び出しに使うため汎用のポインターを関数に渡すのに、 void **を使うことができるかというと、移植性まで考れば不可能である。C言語には汎用のポインターへのポ インター型は存在しない。void *が汎用のポインターとして振る舞う のは、他の型のポインターをvoid *に設定したり参照するときに、自 動的に変換が行われるからである。void *以外の何かを指している void **を使って間接参照しようとすると、この変換は実行できない (隠れた正しいポインターの型がわからない)。,参照呼び出しに使うため汎用のポインターを関数に渡すのに、 void **を使うことができるか。,"移植性まで考れば不可能である。C言語には汎用のポインターへのポ インター型は存在しない。void *が汎用のポインターとして振る舞う のは、他の型のポインターをvoid *に設定したり参照するときに、自 動的に変換が行われるからである。void *以外の何かを指している void **を使って間接参照しようとすると、この変換は実行できない (隠れた正しいポインターの型がわからない)。
",,,,,,,,,,298,
299,"extern int f(int *);の関数がある。これは整数へのポインターを引数として受け取る。どうやれば定数を 参照渡しすることができるか。f(&5);のような呼び出しは、うまくいきません。一発では無理だ。一時変数を定義して、その変数のアドレスを関数に 渡さなければならない。
 
 int five = 5
 f(&five);","以下の関数がある。

extern int f(int *);

これは整数へのポインターを引数として受け取る。どうやれば定数を 参照渡しすることができるか。以下のような呼び出しは、

f(&5);
うまくいきません。","一発では無理だ。一時変数を定義して、その変数のアドレスを関数に 渡さなければならない。

int five = 5
f(&five);
",,,,,,,,,,299,
300,"Cにも""参照渡し""が用意されてるかというと、厳密にいえば、Cはいつも値渡しである。手をわずらわして 参照渡しを真似ることはできる。ポインターを引数として取る関数を 定義し、その関数を呼ぶときに引数に&演算子を使う。あるいは関数 に配列を渡すと コンパイラーは実質的に参照渡しの振りをしてくれる。しかしCは正 式の参照渡しや、C++の参照パラメーターに本当に匹敵するものは持 ち合わせていない。(ただし、関数に似せたプリプロセッサーのマク ロは、一種の""名前呼び出し""を提供する。)","Cにも""参照渡し""が用意されてるか。","厳密にいえば、Cはいつも値渡しである。手をわずらわして 参照渡しを真似ることはできる。ポインターを引数として取る関数を 定義し、その関数を呼ぶときに引数に&演算子を使う。あるいは関数 に配列を渡すと コンパイラーは実質的に参照渡しの振りをしてくれる。しかしCは正 式の参照渡しや、C++の参照パラメーターに本当に匹敵するものは持 ち合わせていない。(ただし、関数に似せたプリプロセッサーのマク ロは、一種の""名前呼び出し""を提供する。)",,,,,,,,,,300,
301,"関数を呼ぶのに、ポインターを通す方法をみたことがある。どうなってるのかというと、もともとは関数へのポインターは*演算子を使って(かつ優先順位をはっ きりさせるためのおまけのかっこを使って)""本物の""関数へ変換しな ければならなかった。
 
 int r, func(), (*fp)() = func
 r = (*fp)();
 
 また以下のように主張することも可能である。関数は常にポインター 経由で起動され""本物の""関数の名前は常にポインターに成り下がるら何も問題は ない。こういう裏付けがpccを通して広がりANSI規格にも採用された。 すなわち、
 
 r = fp();
 
 はfpが関数の名前でも、関数へのポインターでも正しく問題なく動く (この書き方は始めからあいまいさの入る余地の無いものであった。 関数へのポインターに引数が続いていれば、そのポインターが指して いる関数を呼ぶしか仕方がないもの)。*を書くことは害がないし、今 まで通り許される(許されるどころか、古いコンパイラとの互換性が 重要であれば使うことを勧める)。",関数を呼ぶのに、ポインターを通す方法をみたことがある。どうなってるの。,"もともとは関数へのポインターは*演算子を使って(かつ優先順位をはっ きりさせるためのおまけのかっこを使って)""本物の""関数へ変換しな ければならなかった。

int r, func(), (*fp)() = func
r = (*fp)();

また以下のように主張することも可能である。関数は常にポインター 経由で起動され""本物の""関数の名前は常にポインターに成り下がるら何も問題は ない。こういう裏付けがpccを通して広がりANSI規格にも採用された。 すなわち、

r = fp();

はfpが関数の名前でも、関数へのポインターでも正しく問題なく動く (この書き方は始めからあいまいさの入る余地の無いものであった。 関数へのポインターに引数が続いていれば、そのポインターが指して いる関数を呼ぶしか仕方がないもの)。*を書くことは害がないし、今 まで通り許される(許されるどころか、古いコンパイラとの互換性が 重要であれば使うことを勧める)。",,,,,,,,,,301,
302,"どうやればプログラムの中でヌルポインターを得ることができるのかというと、C言語の定義によれば、ポインターを書くべきところに現れた定数0は、 コンパイル時にヌルポインターに変換される。すなわち初期化・代入・ 比較をするときに左辺/右辺のどちらかにポインター型の変数か式が 現れたときは、コンパイラはもう一方の側の定数0がヌルポインター を要求していることを理解し、適切なデータ型のヌルポインターの値 を産み出す。したがって以下のCプログラムの断片は正しい。
 
 char *p = 0;
 if(p != 0)",どうやればプログラムの中でヌルポインターを得ることができるのか。,"C言語の定義によれば、ポインターを書くべきところに現れた定数0は、 コンパイル時にヌルポインターに変換される。すなわち初期化・代入・ 比較をするときに左辺/右辺のどちらかにポインター型の変数か式が 現れたときは、コンパイラはもう一方の側の定数0がヌルポインター を要求していることを理解し、適切なデータ型のヌルポインターの値 を産み出す。したがって以下のCプログラムの断片は正しい。

char *p = 0;
if(p != 0)",,,,,,,,,,302,
